Song,Type,Cover Artist,Total Plays,First Played,First Venue,First City,Last Played,Last Venue,Last City,Shows Played,Shows Since Last Play,Gap Status,Previous Gap,Average Shows Between Plays,Longest Gap,Venues Played,Cities Played
"Midnight Rider","Cover","The Allman Brothers Band",10,"03/29/2023","Blue Point Brewery","Patchogue","06/29/2025","Arrowhead Ranch","Parksville",10,44,"Bust Out",47,8,47,6,5
"Say It to Me S.A.N.T.O.S.","Cover","Phish",10,"05/10/2024","Industry Lounge & Gallery","Huntington","07/11/2026","The Lemon Squeeze","New Paltz",10,5,"Regular",15,7.9,15,9,8
"Statesboro Blues","Cover","Blind Willie McTell",10,"12/31/2022","Beau’s Bar","Greenlawn","02/13/2026","Blue Point Brewery","Patchogue",10,20,"Regular",14,11.3,24,8,8
"I Shall Be Released","Cover","Bob Dylan",9,"03/29/2023","Blue Point Brewery","Patchogue","01/18/2026","89 North","Patchogue",9,21,"Regular",13,12,35,6,4
"Into the Mystic","Cover","Van Morrison",9,"01/27/2023","Blue Point Brewery","Patchogue","06/28/2026","Arrowhead Ranch","Parksville",9,7,"Regular",21,14.3,44,4,3
"Possum","Cover","Phish",9,"12/31/2022","Beau’s Bar","Greenlawn","03/13/2026","Blue Point Brewery","Patchogue",9,17,"Regular",27,13.3,27,4,2
"Day By Day","Original","",8,"08/29/2025","Blue Point Brewery","Patchogue","08/31/2026","Wonder Bar","Asbury Park",8,0,"Regular",5,3.9,7,5,4
"Mighty Great Escape","Original","",8,"02/13/2026","Blue Point Brewery","Patchogue","08/28/2026","Nietzsche's","Buffalo",8,2,"Regular",2,1.6,3,6,5
"Morning Dew","Cover","Bonnie Dobson",8,"04/01/2023","Beau’s Bar","Greenlawn","02/13/2026","Blue Point Brewery","Patchogue",8,20,"Regular",6,13.9,45,4,3
"Soulshine","Cover","The Allman Brothers Band",8,"03/29/2023","Blue Point Brewery","Patchogue","07/20/2025","Blue Point Brewery","Patchogue",8,40,"Bust Out",2,11.1,27,3,3
"Can't You See","Cover","The Marshall Tucker Band",7,"03/04/2023","Southernside Brewing Co.","Greenville","11/08/2025","Black Oak Tavern","Oneonta",7,28,"Bust Out",27,15.7,35,5,4
"Character Zero","Cover","Phish",7,"11/25/2023","Industry Lounge & Gallery","Huntington","01/10/2026","Blue Point Brewery","Patchogue",7,23,"Regular",23,11.8,23,5,4
"Down With Disease jam","Original","",7,"09/15/2023","Blue Point Brewery","Patchogue","01/16/2026","Hubbards Cupboard","Port Chester",7,22,"Regular",7,13.3,48,6,5
"Going Down the Road Feeling Bad","Cover","[traditional]",7,"01/27/2023","Blue Point Brewery","Patchogue","08/26/2024","89 North","Patchogue",7,71,"Monster Gap",29,8.7,29,5,3
"I Ain't Living Long Like This","Cover","Rodney Crowell",7,"04/12/2023","Blue Point Brewery","Patchogue","08/29/2025","Blue Point Brewery","Patchogue",7,34,"Bust Out",9,13.7,29,3,3
"Mighty High","Cover","Mighty Clouds of Joy",7,"08/14/2023","89 North","Patchogue","10/21/2025","Blue Point Brewery","Patchogue",7,29,"Bust Out",8,12.5,62,4,1
"On The Run jam","Original","",7,"12/31/2022","Beau’s Bar","Greenlawn","08/15/2026","Hallockville","Riverhead",7,3,"Regular",25,20.3,43,6,6
"Pluto","Original","",7,"01/10/2026","Blue Point Brewery","Patchogue","07/11/2026","The Lemon Squeeze","New Paltz",7,5,"Regular",3,2,5,5,4
"Weekapaug Groove","Cover","Phish",7,"08/10/2023","Birdies","Patchogue","02/27/2026","People's Pub","Bayport",7,19,"Regular",32,14.3,32,6,3
"Breathe (Reprise)","Cover","Pink Floyd",6,"10/02/2023","Beach Club Estate","Lake Ronkonkoma","08/15/2026","Hallockville","Riverhead",6,3,"Regular",20,19.6,40,6,6
"Higher","Original","",6,"05/17/2025","Blue Point Brewery","Patchogue","12/27/2025","Sayville Theater","Sayville",6,25,"Bust Out",5,3.8,7,4,3
"I'm the Man Who Loves You","Cover","Wilco",6,"01/27/2024","Blue Point Brewery","Patchogue","06/27/2024","Stella Blues","New Haven",6,79,"Monster Gap",1,2.2,4,5,5
"Immigrant Song","Cover","Led Zeppelin",6,"10/28/2023","Beau’s Bar","Greenlawn","06/27/2026","Arrowhead Ranch","Parksville",6,8,"Regular",4,18,44,6,5
"No Stone","Original","",6,"08/29/2025","Blue Point Brewery","Patchogue","02/27/2026","People's Pub","Bayport",6,19,"Regular",0,2,5,5,5
"Sugaree","Cover","Jerry Garcia",6,"04/05/2023","Blue Point Brewery","Patchogue","12/13/2023","Blue Point Brewery","Patchogue",6,98,"Monster Gap",8,4,10,3,2
"Why Does Love Got to Be So Sad?","Cover","Derek and the Dominos",6,"05/17/2024","People's Pub","Bayport","03/13/2026","Blue Point Brewery","Patchogue",6,17,"Regular",25,12.4,25,5,5
"Big Railroad Blues","Cover","Cannon’s Jug Stompers",5,"11/25/2023","Industry Lounge & Gallery","Huntington","08/01/2025","Stella Blues","New Haven",5,39,"Bust Out",16,14.3,26,5,5
"California Stars","Cover","Billy Bragg & Wilco",5,"04/05/2023","Blue Point Brewery","Patchogue","07/20/2025","Blue Point Brewery","Patchogue",5,40,"Bust Out",44,19.8,44,1,1
"Goin' the Wrong Way","Original","",5,"12/31/2022","Beau’s Bar","Greenlawn","04/10/2026","Blue Point Brewery","Patchogue",5,14,"Regular",63,28.3,63,4,3
"Heavy Metal Drummer","Cover","Wilco",5,"11/25/2023","Industry Lounge & Gallery","Huntington","03/09/2024","Blue Point Brewery","Patchogue",5,90,"Monster Gap",2,1.5,4,2,2
"One Way Out","Cover","Sonny Boy Williamson",5,"07/26/2023","The Mann Center Parking Lot","Philadelphia","04/09/2026","89 North","Patchogue",5,15,"Regular",19,23.5,31,5,4
"Access Me","Cover","Phish",4,"02/27/2026","People's Pub","Bayport","06/27/2026","Arrowhead Ranch","Parksville",4,8,"Regular",1,2.7,5,4,4
"Carini","Cover","Phish",4,"05/20/2023","Blue Point Brewery","Patchogue","10/22/2024","Blue Point Brewery","Patchogue",4,63,"Monster Gap",21,17.7,21,2,2
"CHICO","Original","",4,"05/08/2026","Blue Point Brewery","Patchogue","08/31/2026","Wonder Bar","Asbury Park",4,0,"Regular",2,2.7,4,4,4
"Get Lucky","Cover","Daft Punk",4,"05/20/2023","Blue Point Brewery","Patchogue","06/03/2025","Blue Point Brewery","Patchogue",4,47,"Bust Out",20,23,45,3,3
"Hey Old Lady","Original","",4,"01/10/2026","Blue Point Brewery","Patchogue","06/28/2026","Arrowhead Ranch","Parksville",4,7,"Regular",7,4.3,7,3,3
"Hold Me Close","Original","",4,"10/20/2023","89 North","Patchogue","02/18/2024","89 North","Patchogue",4,92,"Monster Gap",1,3.3,7,3,2
